City,Longitude,Latitude,Tempurature (F),Humidity,Windspeed (MPH),Cloudiness
bilibino,166.44,68.05,68.67,52,5.75,29
anchorage,-149.9,61.22,54.45,76,4.7,75
chachapoyas,-77.87,-6.23,57.88,81,4.41,98
assiniboia,-105.98,49.63,73.78,36,17.74,0
huayang,109.99,34.42,63.19,80,4.9,0
sale,-6.82,34.04,79.9,69,13.87,0
kingman,-114.05,35.19,93.07,15,9.17,1
bud,-86.18,39.45,86.86,74,4.7,40
mansa,75.38,29.98,92.28,48,3.2,28
mamontovo,81.62,52.71,58.06,87,5.23,5
erenhot,111.98,43.65,71.65,65,9.35,85
wanning,110.4,18.8,81.63,84,11.05,86
erzin,36.2,36.96,84.0,80,3.06,0
tigil,158.67,57.8,45.37,90,3.09,1
saint-georges,-61.75,12.06,84.2,74,17.22,40
pandan niog,120.56,6.23,83.59,71,5.64,74
vardo,31.11,70.37,57.2,82,18.34,48
flinders,150.86,-34.58,60.01,95,11.99,100
los llanos de aridane,-17.92,28.66,73.94,69,12.75,20
mugan,101.38,35.94,55.96,53,4.74,0
tucuma,-50.05,-0.18,87.21,61,6.33,19
san rafael,-68.33,-34.62,62.29,30,15.1,90
la sarre,-79.2,48.8,78.73,76,9.6,85
fukue,128.84,32.69,79.38,87,10.76,100
aranos,19.12,-24.13,57.61,35,10.98,0
labelle,-81.44,26.76,91.47,59,7.11,20
portland,-122.68,45.52,76.64,49,6.93,1
necochea,-58.74,-38.55,52.0,63,8.99,100
kang,22.79,-23.68,55.02,39,4.88,0
tulun,100.58,54.56,58.23,89,2.48,4
kailua,-157.74,21.4,75.81,83,20.8,90
rapid valley,-103.15,44.06,76.53,31,8.05,1
nome,-165.41,64.5,52.77,76,1.79,1
kimbe,150.14,-5.55,74.98,88,3.91,100
skibbereen,-9.27,51.55,57.2,93,12.75,75
panalingaan,117.42,8.78,79.41,80,3.18,14
pafos,32.42,34.77,82.4,69,9.17,0
owando,15.9,-0.48,80.02,66,1.68,94
